,,,,,,,,Misclassification subclasses,,,,,,
Index,Prediction,True Class,Raw data,Review Text,Missclassification,Corner Case,Outlier,Expressive,other causes,no explanation,too short,Missclassfication = ,"26,5","25,48%"
1,1,0,274574,Didn t no it had a fridge till last day or drinks Nothing,,1,,,,,,Corner Case = ,"30,3","29,13%"
2,1,0,201199,Everything Nothing,,1,,,,,,Outlier =  ,"47,2","45,38%"
3,1,0,450222,Convenient location free tea coffee biscuits and sweets in lounge area Bar snacks quite good so were cocktails Staff friendly and efficient Rooms updated with more modern furniture since we last stayed there however now appears to have limited storage space for clothes if staying a few days Bedside tables were just that no drawers A chest of drawers or similar would have been useful Modern wall mounted fridge totally inefficient with little shelf space,,1,,,,,,,,
4,2,1,140927,Close to Kensington gardens staff friendsnotly and helpful for the most part Breakfast was good Internet was spotty complained 3 or 4 times before they got it fixed On the day of our arrival we were tired and hungry from traveling from the US we tried to eat dinner at the restaurant and even tho there were multiple tables available hostess told us it would be a 30 minute wait after being ignored by the wait staff for an inordinate amount of time we left and had a nice meal at the Greek restaurant several doors down,,,1,,,,,,,
5,2,0,281350,Closeness to beach and ease of getting in to thecity Condition of ladies toilet on ground floor was poor at one point in our visit On occasions the service on the ground floor was slow,,,1,,,,,,,
6,1,2,124701,Breakfast Buffet fresh omeletes coffee machine friendly staff Comfy Bed room lighting layout service slow at times tv on wall that could not be comfortably viewed from bed Balcony dirty,,,1,,,,,,,
7,1,2,47552,Location Risotto is great Nothing else is worth the money Have stayed many times with work staff need serious training Probably not their fault that theyre a bit useless general politeness and attitudes need adjusting also Cleaning staff very good though,,1,,,,,,,,
8,0,1,417308,Staff friendly and helpful Room very warm air con not very cool,,1,,,,,,,,
9,1,0,389785,Service,,,1,,,,,,,
10,2,1,370468,We liked the photo booth at the entrance We liked the food served for breakfast The gym room was quite interesting Some of the staff at the reception and especially at the restaurant were passive aggressive It is not what you want to experience at a hotel We found the rules around payment for breakfast quite irrational During check in we had to commit to having breakfast everyday for a set fee otherwise we would have to pay 5 Euros extra per person per day for walk ins Having no idea how breakfast is like at check in it is absolutely an annoying choice a guest is asked to make We ended up paying more for the same breakfast Not what you want to experience at a hotel We stayed at the hotel twice our first room was quite small and it was difficult to move inside the room with multiple bags We were told it was one of the largest rooms and were then given a much larger room for our second stay,,,1,,,,,,,
11,1,0,371368,Stayed here with my cousin for a girls weekend away last weekend Hotel was great value for money bed were comfy nice hotel staff were so helpful and it s only 15 direct on number 9 tram to the center and half hour on number 3 to the museum quater and 30 mins in total to the airport They give you milk tea coffee kettle and fridge in the room as well The toilet window why an internal window whatever happened to privacy,,1,,,,,,,,
12,1,0,326549,Amazingly friendly and attentive staff great location beautiful interior design feel of real England Horrible Wi Fi quite old furniture and bathroom,,,1,,,,,,,
13,0,1,167828,Friendly staff great location comfy bed clean room The food could have been a little hotter but it was tasty and plenty of it,,1,,,,,,,,
14,2,1,336097,Massive outdoor car park for our van five minute walk to tram station massive room for a very good price quiet good air con A little dated especially bathrooms one towel was dirty restaurant good but expensive,1,,,,,1,,,,
15,0,1,472811,Friendly staff good location quiet nice breakfast set up Room too warm and could not be regulated Room had a malfunctioning jacuzzi and was not fixed during our stay,1,,,1,,,,,,
16,1,0,38060,The location The breakfast a little high in price And the dining room very small,,,1,,,,,,,
17,1,0,361549,Perfect location right in front Wembley stadium next door to SSE arena and within 7 8min walking to Wembley Park underground station Family rooms from 551 to 565 or so has internal view to the wall Should be same on 6th floor,1,,,,,1,,,,
18,1,0,172429,The location was perfect tube next door a few nice restaurants and lots of places within walking distance The hotel was amazing first class staff except for check in everyone very polite and helpful The room was a good size not exceptional but nice lovely bed bathroom was in need of an update but it had everything we needed Breakfast was absolute lovely amazing choices for hot and cold my husband had a full English and I tried their bread fruits pancakes etc and we both enjoyed it One of the reason we choose Millennium chain is because of the club room and it didn t disappoint Lovely croissants and homemade cookies all day juice and coffee tea There were 2 hours with canap s and drinks this was a great surprise and we tried it all and thoroughly enjoyed it We will continue to choose the Millennium chain when staying in London and hope the check in experience was a one off When we checked in we were told we had booked a standard double no breakfast and an Easter promotion was then being sold to us to have us pay for breakfast However I had booked a double club room including breakfast but the check in lady didn t seem interested and continued her sales pitch Only when I told her that I know what I had paid and I would not pay again did she finally check my confirmation on my phone It did turn out that the booking was there apparently mistakes happen when using other sites we were told but no apology offered at all quite stressful,,,1,,,,,,,
19,1,2,61494,The bed is fantastic rooms and bathrooms are tidy and clean Devices to make coffee and tea are there Rooms are small but cosy and noise from outside stays outside Service from the host very good and friendly speaks English and helps with maps and advice Minus points for us where the neighbourhood close to metro but not a very nice area to walk to the hotel in the evening The breakfast enough variety for French standards but croissants where stale Every day That s a pity in France there are so many bakery s with freshly baked croissants every day,,,1,,,,,,,
20,1,0,61368,the food quality could be much better also the location for being picked up and dropped of by a car is a little difficult,,,1,,,,,,,
